priority,domain,tinysoft_table_id,tinysoft_table_name,extract_mode,refresh_freq,alpha_target_table,similar_tushare_tables,similar_akshare_tables,overlap_level,key_diff_fields,recommendation
P0,stock,130,沪深港通每日成交汇总,Infoarray,每日,tinysoft.stock_hsgt_daily,,,none,"北向/南向通道维度,人民币与港币金额并存,2024-08-19后披露口径变更",build_new
P0,stock,131,沪深港通每日十大成交活跃股,Infoarray,每日,tinysoft.stock_hsgt_top10,,,none,"通道内排名,港币/人民币混合币种,2024-08-19后买卖金额缺口标记",build_new
P0,stock,132,沪深港通持股明细,Infoarray,港股通每日;沪深股通季度,tinysoft.stock_hsgt_hold,,,none,"通道级持股,披露周期差异(每日/季度),持股比例来源口径",build_new
P0,stock,161,沪深股通股票卖空数据,Infoarray,每日,tinysoft.stock_hsgt_short_balance,,,none,"可供卖空余额(股),与融资融券口径不同,2024-08-19后可用状态处理",build_new
P0,stock,151(正文写150),转融通证券出借交易,Infoarray,每日,tinysoft.stock_lending_summary,tushare.stock_margin;tushare.stock_margindetail,,partial,"期限维度,申报类型,数据类型,出借成交量",build_new
P0,stock,152,转融券交易明细,Infoarray,每日,tinysoft.stock_lending_trade,tushare.stock_margindetail,,partial,"期限维度费率与融出数量,与两融余额口径不同",build_new
P0,stock,153,转融券余量,Infoarray,每日,tinysoft.stock_lending_balance,tushare.stock_margindetail,,partial,"转融券余量与余额,含偿还展期影响",build_new
P0,fund_ext,614,基金投资风格,InfoArray,季度,tinysoft.fund_style_ext,tushare.fund_factor_pro,,low,"价值/规模/换手/集中度风格标签,非行情技术因子",build_new
P0,fund_ext,622,风险调整收益及风险,InfoArray,每周六,tinysoft.fund_risk_adj_ext,,,none,"夏普/詹森/特雷诺/信息比等完整风控指标",build_new
P0,fund_ext,623,基金指数收益率,InfoArray,每周六,tinysoft.fund_category_index_ret,,,none,"同类别基金指数化收益序列,分类层级收益基准",build_new
P0,fund_ext,625,基金经理_业绩回报,InfoArray,每周六,tinysoft.fund_manager_perf_ext,tushare.fund_manager,,partial,"经理维度区间收益与同类排名,非静态履历",build_new
P0,fund_ext,626,基金经理_风险调整收益及风险,InfoArray,每周六,tinysoft.fund_manager_risk_ext,tushare.fund_manager,,partial,"经理维度风险调整指标,含beta/下行波动",build_new
P0,index,753,市场交易日历,InfoArray,不定期,tinysoft.market_calendar_multi,tushare.others_calendar;tushare.tushare_others_tradecal;tushare.tushare_others_hktradecal,,partial,"A股/港股/北向/南向/银行间统一交易日历",build_new
P0,index,754-763,指数财务聚合指标,report,季度,tinysoft.index_financial_agg,tushare.index_dailybasic;tushare.index_factor_pro,,partial,"指数层财务聚合(加权/中位数,全部/剔亏,季度/TTM)",build_new
P1,stock,154,限售解禁,Infoarray,不定期,tinysoft.stock_unlock_schedule,tushare.stock_sharefloat,,partial,"未来预测解禁,实际可流通数量,限售类型细分",enhance_existing
P1,stock,129,交易公开信息,InfoArray,每日,tinysoft.stock_public_trade_info,tushare.stock_toplist;tushare.stock_topinst,akshare.stock_limitup_reason,partial,"异动类型/详情、营业部级买卖,事件口径更细",enhance_existing
P1,stock,157,股东增减持,InfoArray,每日,tinysoft.stock_holder_change_ext,tushare.stock_holdertrade,,partial,"变动起止日与原因方向,公告事件链补全",enhance_existing
P1,stock,160,股份回购,InfoArray,不定期,tinysoft.stock_repurchase_ext,tushare.stock_repurchase,,partial,"回购类型/方案状态/价格区间,事件过程字段更细",enhance_existing
P1,stock,144,股票质押回购交易汇总,Infoarray,每日,tinysoft.stock_pledge_summary,tushare.stock_pledgestat,,partial,"场内初始/购回交易金额(日频)",enhance_existing
P1,stock,145,股票质押回购交易明细,Infoarray,每日,tinysoft.stock_pledge_detail,tushare.stock_pledgestat,,partial,"股票/基金/债券维度初始与购回数量",enhance_existing
